states,x,y
Andhra Pradesh,-69,-211
Arunachal Pradesh,290,124
Assam,239,75
Bihar,79,54
Chhattisgarh,-15,-53
Goa,-190,-194
Gujarat,-247,1
Haryana,-136,146
Himachal Pradesh,-119,218
Jharkhand,64,0
Karnataka,-148,-227
Kerala,-138,-308
Madhya Pradesh,-104,-4
Maharashtra,-160,-102
Manipur,262,35
Meghalaya,199,55
Mizoram,235,2
Nagaland,278,70
Odisha,52,-72
Punjab,-158,192
Rajasthan,-212,80
Sikkim,139,109
Tamil Nadu,-94,-309
Telangana,-77,-131
Tripura,211,6
Uttar Pradesh,-43,92
Uttarakhand,-73,172
West Bengal,131,-9

